ID,question,answer
1,How do you usually start your mornings?,I usually start my mornings by waking up by my alarm on weekdays. Since most of my classes start in the morning I usually head to school from there.
2,What’s your favorite hobby and how did you get into it?,"My favorite hobby is listening to music, I don’t know when I got into it. I just really enjoy feeling a song or discovering new songs through social media."
3,How do you usually spend your vacations or breaks?,"I usually sleep sleep a lot and don’t do much, occasionally I also visit my family."
4,Are you more of a morning person or a night owl?,Night owl
5,How do you usually deal with stressful situations?,I tend to avoid stressful situations however if I must tackle one I try to break it into smaller tasks which I can handle one by one. Ideally I tackle such situations while listening to music. Finally if the task was too taxing I try to reward myself.
6,What’s a typical weekday like for you?,"Waking up, try to catch up on homework, going to class, walking to my next class, have lunch, 
then I do some random activity I enjoy or must do and finally I proceed to tackle my tasks late 
afternoon. "
7,Do you prefer spontaneous plans or well-organized ones?,Well organized ones.
8,How do you usually celebrate your birthday or special occasions?,"I usually prefer not to celebrate and just do what I am feeling like at the moment. I see no point in celebrating if I can just rest, or if it is not what I want to do at the moment."
9,What’s one thing that instantly improves your mood?,Discovering a really good song.
10,Do you prefer spending time alone or with people? Why?,"Alone, because I don’t have to agree with plans and proceed to do as I wish. Additionally I can work on my own timeframe or when I feel like it, which is better because I work better when I am actually motivated."
11,How do you usually approach solving a difficult problem?,I usually first plan what I will do and from then on I begin to take action but it also really depends on the timeframe I have. I also try to seek help if I can.
12,What’s something you’ve recently learned about yourself?,I lose motivation easily. Having some background noise helps me focus.
13,Do you believe people can truly change over time?,I believe it really depends on the person and from then on it really depends how much change is required. I don’t believe in extreme changes.
14,How do you define success in your own life?,Having a peaceful life where I can have freedom to afford a comfortable life.
15,What motivates you to keep going when things get tough?,Making a good future for myself. Thinking of how far I have come or how much I have already done.
16,"If you could change one thing about modern society, what would it be?",I don’t know. I haven’t really given it much thought. I don’t like to ponder on such questions. I prefer what if scenarios or really wild situations. Changing one thing about society doesn’t seem appealing to me nor do I believe it would cause a significant impact.
17,Do you think social media has a positive or negative impact on mental health?,"I think it can have both, but I also think it also depends on the person with today’s technology. I believe your feed can be a reflection of some of your thoughts, if you have a negative view of yourself or are struggling. Social media might make it worse, else it may not have any effect."
18,What are your thoughts on data privacy in the age of smartphones and apps?,"I think a lot of companies are abusing the amount of information they request from their customers, however I don’t think anything will be done about it. Still I wish there was more moderation on the amount of data companies could request from customers."
19,Do you believe technology makes people more connected or more isolated?,"I believe technology helps people be more connected, even if you isolate yourself from others technically you are still staying connected through technology somehow."
20,How do you feel about influencers shaping public opinion online?,"I don't have many opinions on influencers. I am not sure why but I believe I am usually distracted or not paying complete attention while using social media, so I don’t form much of a thought process."
21,Would you trust an AI assistant to handle personal or financial tasks for you?,"Yes, as long as my information is not used to train the model and is properly kept."
22,Do you think virtual reality will become a part of everyday life soon?,"I think VR still has a long way to go, and adoption will represent a significant cost, so I don’t think it will happen anytime soon."
23,How comfortable are you with sharing personal information online?,"Not comfortable, I don’t like having my public information on the internet. If I use social media other than Instagram I tend to use it under another name."
24,Do you think humans will ever develop emotional connections with AI?,I think a lot of people have already developed one sided connections with AI and there is nothing that could be done about it. I think in the future many more people will develop such connections.
25,What do you do for fun on weekends?,For fun I enjoy watching movies or sleeping.
26,"What was the last book you read, and what did you think about it?",The last book I read was an introductory book to deep learning. I thought it was an interesting book but also really long.
27,"Do you agree with the statement: ""AI will replace most human jobs""? Why or why not?",I think AI can replace many jobs however I believe some regulations will be needed to determine how much is allowed to be outsourced to AI.
28,"Do you play any games? If so, which ones and why? If not, why not?",I don’t play any games currently. I used to play a lot when I was younger so I guess such games have lost their appeal.
29,"Do you believe people should always speak their minds, even if it offends others?",I believe there is a time and place for expressing your mind or opinion. I believe it depends on the situation and the person and the opinion in itself. Additionally you can express yourself freely but not at the expense of someone else’s respect.
30,How do you usually make important decisions?,I tend to first just try to think about the problems and possible solutions from then on I explore those and imagine them as solutions to those problems. From then on I try to investigate those that are the best decisions and then finally make my choice.
31,What’s your biggest pet peeve?,"Weird noises made by objects, especially those screeches against the wall."
32,Do you think luck or effort plays a bigger role in success? ,"I think even if you put a lot of effort you won’t succeed unless you have some luck, likewise I believe you can temporarily achieve success using just luck, but it wouldn’t last long term. However I believe effort can grant some level of success."
33,How has technology changed your daily life in the past few years?,"I don’t think technology has made any impact on my daily life lately, the only instance I can think of is getting interested in the recent developments in technology which led me to choose my major."
34,Would you ever consider using AI tools to assist your work or studies? Why or why not?,"Yes, I believe it is important to learn how to use AI, it seems every company is trying to incorporate it into their systems and I believe it poses interesting opportunities."
35,"What’s the most recent movie you watched, and what was your opinion?","Glass Onion, I really like the movie and it brings a smile to my face even if it was a rewatch."
36,"Do you use X (formerly Twitter)? If so, for what purpose?",No
37,"What is your religion (if any), and what are its core values? If none, why not?","I really do not have a religion, I think I just struggle to commit to one."
38,What are your thoughts on climate change?,It is a problem that is yet to be properly addressed
39,How do you feel about the increasing use of AI in law enforcement?,"I don’t think AI should be used in law enforcement, I believe there are jobs AI shouldn’t be used for. Additionally there are jobs where you need someone to hold responsible"
40,"Do you believe privacy is more important than security, or vice versa? Explain your stance.","I believe privacy is more important than security. Everyone is entitled to their own privacy and even if security is important, privacy protects more the person and their ability to control their information."
